Название,Ссылка,Collection ID,Item ID,Created On,Updated On,Published On,Раздел,В группе,Название группы,Описание,Цена,Веган,Доставка,2 Советская,Римского-Корсакова,ВО,Позиция в списке,Фотография,Является группой
Aeropress,aeropress,5fab84f647b9e10c06cef6ec,5fc4a9386532b7a2a9e4a53b,Mon Nov 30 2020 08:11:36 GMT+0000 (Coordinated Universal Time),Thu Apr 29 2021 16:48:46 GMT+0000 (Coordinated Universal Time),,drinks,true,Модный чёрный,,170,true,false,2-sovetskaya,rimskogo-korsakova,met-vo,2.1,,false
Английский завтрак ,angliyskiy-zavtrak,5fab84f647b9e10c06cef6ec,5fc4c7cbc72a4317c77d9fb5,Mon Nov 30 2020 10:22:03 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:49:40 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),zavtraki,,,"Яйца скрэмбл, жареный бекон и пикантная свиная колбаска, запеченные черри и шампиньоны, хрустящие домашние тосты, руккола и фасоль в томатном соусе (450 г)",550,,true,2-sovetskaya,rimskogo-korsakova,,12,,false
Банановый кекс,bananovyy-keks,5fab84f647b9e10c06cef6ec,654e6332bf123c4122879bc7,Fri Nov 10 2023 17:06:58 GMT+0000 (Coordinated Universal Time),Fri Nov 10 2023 17:13:07 GMT+0000 (Coordinated Universal Time),Wed Apr 24 2024 06:11:42 GMT+0000 (Coordinated Universal Time),deserty,false,,"Легкий воздушный кекс с бананом, грецким орехом и шоколадными дропсами (140г)",250,false,false,,,,6.11,,false
Бефстроганов,befstroganov,5fab84f647b9e10c06cef6ec,5fc4d552b4c9492bd4407a55,Mon Nov 30 2020 11:19:46 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:53:55 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),supy-i-vtorye-blyuda,false,,"Сочная говяжья вырезка и пюре из молодого картофеля, под авторским соусом с огуречным вареньем (300 г)",500,false,false,2-sovetskaya,rimskogo-korsakova,,5,,false
Бенедикт с лососем,benedikt-s-lososem,5fab84f647b9e10c06cef6ec,5fc4d4c051db5a943dda09ea,Mon Nov 30 2020 11:17:20 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:52:21 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),sendvichi,true,Бенедикт с лососем,"Большая порция: 2 яйца пашот на подушке из авокадо с малосольным лососем шеф-посола, подается на домашних булочках бриошь под соусом бермонте (340 г), с 10 утра",580,false,true,2-sovetskaya,rimskogo-korsakova,,5,,false
Бенедикт с лососем маленькая порция,benedikt-s-lososem-malenkaya-porciya,5fab84f647b9e10c06cef6ec,608b1f1fc134bcdb0a3d7fff,Thu Apr 29 2021 21:03:27 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:52:17 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),sendvichi,true,,"Маленькая порция: яйцо пашот на подушке из авокадо с малосольным лососем шеф-посола, подается на домашней булочке бриошь под соусом бермонте (150 г), с 10 утра",350,false,true,2-sovetskaya,rimskogo-korsakova,,5.1,,false
-------- Безумный охлаждающий,bezumnyy-ohlazhdayushchiy,5fab84f647b9e10c06cef6ec,608adc7d9a1a9b00b77b1c18,Thu Apr 29 2021 16:19:09 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 22:58:44 GMT+0000 (Coordinated Universal Time),,,false,Безумный охлаждающий,,,false,false,2-sovetskaya,rimskogo-korsakova,met-vo,4,,true
-------- Безумный согревающий,bezumnyy-sogrevayushchiy,5fab84f647b9e10c06cef6ec,5fd1454f6262e064a674594e,Wed Dec 09 2020 21:44:47 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 23:07:44 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 23:07:48 GMT+0000 (Coordinated Universal Time),,false,Безумный согревающий,,,false,false,2-sovetskaya,rimskogo-korsakova,met-vo,4,,true
Брауни с пеканом,brauni-s-pekanom,5fab84f647b9e10c06cef6ec,5fc4d79aa92afe2db88a7da2,Mon Nov 30 2020 11:29:30 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:54:53 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),deserty,false,,Плотный по текстуре десерт из бельгийского шоколада (100 г),250,false,true,2-sovetskaya,rimskogo-korsakova,met-vo,2,,false
Бриошь с пеканом и карамелью,briosh-s-pekanom-i-karamelyu,5fab84f647b9e10c06cef6ec,608b224b146b9c3773dd65f2,Thu Apr 29 2021 21:16:59 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:55:38 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),deserty,false,,Нежная сдобная булочка с пеканом и сливочной карамелью (150 г),250,false,true,2-sovetskaya,rimskogo-korsakova,met-vo,3,,false
